,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
47,155.5,14.070847494245605,58.09779956405878,17.09921300020125,12.063253084338683,50.384776310850235,162,206.95498392282957,227
48,12.0,3.9088200952233594,15.725985965430008,6.277420732560663,2.5611065429215047,13.828427124746192,164,199.64583333333334,223
49,38.0,6.955796338302048,53.80797163037181,9.19446198863306,5.38184843360499,23.31370849898476,159,201.5,226
50,53.0,8.214724333230155,67.39416648991222,8.989020141052888,7.773878566138094,27.72792206135786,159,204.83490566037736,224
51,72.75,9.624353322664494,-54.42454537648828,15.669318694401666,6.8975721067460105,43.24568901432422,159,203.82817869415808,223
52,58.5,8.63044108762739,81.82696792733611,14.240580742518905,6.644192994067802,45.97056274847714,164,203.76923076923077,222
53,40.75,7.203090409536582,-65.92916318883702,10.217404116270318,5.241720192813713,25.4350288425444,162,201.83435582822085,224
54,332.5,20.575523046193542,56.146051191089036,22.119422886043505,19.542501477252603,72.81980515339464,158,201.07142857142858,218
55,58.75,8.6488625410045,-40.69716198553277,9.609269348778657,7.945207083650422,28.384776310850235,158,205.34893617021277,228
56,57.75,8.574939283076915,81.12018756294735,9.80623308322714,7.797574459280914,29.142135623730947,158,203.9004329004329,223
57,129.0,12.815923738491737,71.66880462016172,18.257941544153024,9.261492978996467,50.798989873223334,158,201.96511627906978,222
58,96.25,11.070199012698888,89.640601358824,15.623690333152348,8.703710471304595,42.14213562373095,159,200.72987012987014,220
59,6.5,2.876813695875796,-8.881894655050408,4.584377401616469,1.8560771269229894,9.414213562373096,169,191.84615384615384,223
60,61.25,8.83096382707056,69.02690726060413,10.42346286752005,7.851797913270466,34.26345596729059,159,202.6530612244898,228
61,441.75,23.71610357724806,-30.313623493956,40.65287032494612,17.07043939451797,167.90306627407986,158,203.23033389926428,233
62,603.0,27.70854462932514,-27.938323963948232,30.792654680816227,28.29285926937163,166.175144212722,158,199.59121061359866,227
63,105.75,11.603666741842574,-63.14414746700673,13.119827389028128,10.438073317988312,39.84924240491749,159,200.73995271867614,220
64,4.0,2.256758334191025,-90.00003218077504,3.1622776601683795,1.5612494995995996,6.414213562373096,174,204.75,221
65,104.5,11.534883286137944,-65.643837374197,13.290797452588965,10.912614625428134,42.97056274847714,158,200.17703349282297,219
66,67.5,9.27058084855655,79.22776293925676,12.721793119618678,7.208479735420727,33.31370849898476,158,200.94444444444446,219
67,11.0,3.742410318509555,61.55478552093571,4.121269956803477,3.4977338674650307,11.535533905932738,168,202.45454545454547,224
68,32.5,6.432750982580687,-89.8969808125947,8.817166360710381,4.890765707113434,22.363961030678926,158,199.73846153846154,219
69,322.75,20.27160731326635,-43.993217304005356,26.01856538985586,18.529555471902846,105.97970773009195,158,203.32687838884587,225
70,8.0,3.1915382432114616,36.67345135477516,3.5905986127281606,2.871292453282077,9.414213562373096,160,197.0625,218
71,348.0,21.049640414216977,84.74950376788995,28.148843724682127,16.127334569151365,84.64823227814082,158,204.20402298850576,227
72,17.25,4.686510657907603,-80.96065440942208,6.081886170438479,4.183507369870038,16.65685424949238,161,204.40579710144928,219
73,5.5,2.6462837142006137,-90.00003218077504,3.5161962919661303,2.05703790890632,7.82842712474619,164,200.63636363636363,222
74,3.0,1.9544100476116797,-90.00003218077504,2.23606797749979,1.632993161855452,5.0,179,197.5,209
75,7.75,3.141274657157109,16.18930858942445,5.2320729937060495,1.9152222012892437,10.828427124746188,161,197.0,217
76,87.5,10.55502061411188,78.40259117350665,14.461142012264451,7.827618833277415,37.02081528017131,158,203.07142857142858,224
77,87.75,10.57008845991889,-72.87950387137863,11.106379155041058,10.436454073541853,35.26345596729059,158,203.5982905982906,224
78,5.0,2.5231325220201604,-45.00001609038752,2.8600699292150185,2.2360679774997894,7.121320343559642,161,191.6,214
79,629.75,28.316472296120658,-26.966718598665178,44.84539243428125,21.02613177982142,156.98885271170678,158,202.8225486304089,222
80,73.0,9.640875829802336,-16.131764751264942,11.365964191556177,8.444215278883387,36.09188309203678,158,198.96917808219177,220
81,85.75,10.448937312523231,-85.14948866966422,12.108888806905993,9.233635782068273,34.72792206135786,158,203.0058309037901,222
82,120.75,12.399341717477219,-23.189759121433568,13.450578248781204,12.143572813203576,45.849242404917504,161,201.1055900621118,220
83,92.0,10.823032759612019,68.28968081636003,11.553648822894681,10.35710852443215,35.60660171779821,161,201.29347826086956,224
84,24.75,5.613615477764332,7.363420932763259,6.734875956299041,4.826981046857008,18.363961030678926,158,201.96969696969697,224
85,38.25,6.978639737521917,72.32414329074223,7.676640981732564,6.564123941198008,22.77817459305202,161,202.7843137254902,224
86,131.75,12.951807210534664,24.0592286578963,15.042974382936652,11.673942151567804,48.67766952966369,158,199.81214421252372,222
87,7.75,3.141274657157109,-39.146795632909686,3.3998674892844876,2.9543361162488897,9.121320343559642,160,198.80645161290323,214
88,294.75,19.37233480535295,-18.465312224166126,25.552007038346776,17.531707894788916,125.25788232314397,158,200.23918575063612,221
89,83.0,10.280023453913834,-28.16276868394322,11.606215719853354,9.643757764510939,39.45279579551077,158,200.56927710843374,220
90,36.0,6.770275002573076,83.6312497483209,7.863503953822674,6.115038890305079,22.65685424949238,169,202.25,216
91,163.25,14.417224270920368,83.99990771084788,16.72215427993845,13.58876248216147,56.62741699796952,158,202.96630934150076,222
92,60.75,8.79484521425256,85.25606267234987,10.247948207564825,7.6116691804124414,29.02081528017131,160,200.36625514403292,219
93,130.5,12.890219570974683,-84.66347781194878,16.2405669195213,10.605041174061533,45.384776310850235,160,204.33908045977012,221
94,13.5,4.145929793656026,-64.67784038641452,5.567945831451689,3.3109385260217685,13.65685424949238,159,196.59259259259258,217
95,37.0,6.863662517577698,89.77055936883006,9.966585227012121,5.00103115236433,24.77817459305202,159,200.8581081081081,221
96,175.25,14.93771167933152,80.50037503615971,18.758452918683474,12.69006460772105,64.16295090390226,158,200.13409415121257,223
97,63.75,9.009385160867895,21.691685547360915,12.55847443340907,6.589229513975101,31.313708498984756,162,199.98039215686273,219
98,54.75,8.349243383340204,13.113968025302862,9.518793699996195,7.553059232861738,27.77817459305202,158,200.00913242009133,217
99,166.5,14.560026929865362,-88.44995766812563,17.681793315380403,13.349318204492798,60.87005768508881,158,199.7867867867868,217
100,45.0,7.569397566060481,84.48393942842061,8.569247607246206,6.740734501413379,23.899494936611664,159,200.82777777777778,220
101,207.0,16.23454913941803,55.857039230727565,18.031460443259675,15.014595218004741,62.45584412271572,158,202.32850241545893,221
102,241.25,17.52623862006215,-7.3753739140861985,34.5347211623545,12.200603821651798,104.34062043356595,158,199.2860103626943,218
103,29.5,6.128667601500942,38.556602733121174,6.993018350310703,5.435899322824141,19.656854249492383,158,195.3135593220339,215
104,26.5,5.808687281605183,-9.560010219165262,6.331521531351913,5.417964685008772,18.535533905932738,160,199.95283018867926,214
105,20.75,5.140011726956917,-11.229225203340393,6.1613569026480075,4.344531958255985,16.121320343559642,160,199.4578313253012,212
106,66.0,9.166995688475081,67.59565856484262,11.005539809743205,7.924263793778212,31.313708498984756,158,202.11742424242425,223
107,102.75,11.437891554894984,11.086775716708845,13.917470565249268,9.645174012368999,41.384776310850235,158,200.12895377128953,223
108,35.25,6.699380116989518,35.44975297130586,7.844799060701631,5.962046171828826,22.31370849898476,163,200.41843971631207,223
109,55.0,8.368283871884005,-80.14585833020702,12.416387054927297,5.790747273870371,30.899494936611664,160,198.50454545454545,219
110,127.75,12.753679933255228,-37.87407327606403,19.46289486863347,9.181529041261188,54.04163056034261,159,202.17221135029354,224
111,53.25,8.234075889688375,36.38227313983557,10.602884752880737,7.022953461270116,29.8492424049175,158,201.5399061032864,219
112,149.0,13.773623058786647,29.329360651518233,14.642390600455201,13.319101261040812,53.62741699796952,158,200.05369127516778,218
113,30.5,6.231677632421503,-30.30785677906061,11.098442135526577,3.570319819790806,24.142135623730947,158,202.5983606557377,221
114,71.0,9.507891862878783,-72.49756962441047,10.775834316675088,8.569390856277316,31.4350288425444,160,200.07394366197184,217
115,150.75,13.85427231466257,-41.94771375967624,19.55806847103333,11.750168239888943,74.198484809835,158,200.72968490878938,221
116,184.0,15.306079714651624,-25.763941624610894,26.536120320042013,11.870287696006452,72.95889244992065,158,200.96059782608697,224
117,9.75,3.523362819972964,68.84490977803925,4.319444311265196,2.94479021358679,10.82842712474619,160,195.74358974358975,218
118,79.0,10.02925341359355,-61.98485787023787,13.62382060120401,7.962869768703763,39.09188309203679,161,201.64240506329114,227
119,28.5,6.023896332520351,-53.5884648433753,7.153354835332147,5.341409309514891,21.071067811865476,159,196.59649122807016,219
120,221.75,16.80300178673508,-40.480680725985216,20.456838171540344,14.972494074991664,68.11269837220809,158,204.22209695603158,222
121,4.5,2.393653682408596,-90.00003218077504,3.415650255319866,1.632993161855452,7.0,164,199.88888888888889,214
122,12.75,4.029119531035698,1.7479923297260198,4.708176320047535,3.4899663946253567,12.535533905932738,161,198.50980392156862,222
123,70.25,9.45754080179648,-2.35768324408427,11.968860846885624,7.700921354683674,34.14213562373095,159,200.58718861209965,216
124,26.5,5.808687281605183,63.52634930654872,7.501020544787816,4.55779493082518,18.899494936611664,160,197.24528301886792,215
125,174.75,14.916387312029334,56.06932272506123,16.57593129047752,14.793623433610282,75.50914498161481,158,199.58512160228898,224
126,102.25,11.410028196686037,18.751512876944908,14.153297805283614,9.427560312827598,39.89949493661167,158,203.68704156479217,224
127,383.0,22.082815618339236,-46.08914426677011,32.41250365538785,17.309693839689576,113.68986283848345,158,202.5874673629243,231
128,9.0,3.385137501286538,-58.094329856996936,5.686171291701108,2.58870752668549,12.82842712474619,165,199.19444444444446,218
